cpuMark,threadMark,TDP,cores,testDate,Desktop,Laptop,Mobile/Embedded,Server,Unknown
108822,3330,280.0,64,2022,1,0,0,0,0
88338,2635,280.0,64,2021,0,0,0,1,0
86006,2387,53.0,64,2021,0,0,0,1,0
85861,2727,225.0,64,2021,0,0,0,1,0
83971,2626,280.0,64,2020,1,0,0,0,0
81568,2569,280.0,64,2020,1,0,0,0,0
80842,3340,280.0,32,2022,1,0,0,0,0
77460,2564,53.0,60,2021,0,0,0,1,0
76455,2695,225.0,48,2021,0,0,0,1,0
71646,2097,200.0,64,2020,0,0,0,1,0
71576,2054,225.0,64,2021,0,0,0,1,0
68749,2145,225.0,64,2019,0,0,0,1,0
68505,2775,280.0,32,2021,0,0,0,1,0
68405,3346,280.0,24,2022,1,0,0,0,0
67748,2155,225.0,48,2021,0,0,0,1,0
67144,2742,225.0,32,2021,0,0,0,1,0
64727,1922,53.0,48,2020,0,0,0,1,0
63835,2694,280.0,32,2019,1,0,0,0,0
63495,2666,280.0,32,2020,1,0,0,0,0
62317,2385,270.0,40,2021,0,0,0,1,0
61689,2110,200.0,64,2019,0,0,0,1,0
60948,2975,240.0,24,2021,0,0,0,1,0
59732,2447,200.0,32,2021,0,0,0,1,0
57666,2965,200.0,24,2021,0,0,0,1,0
56728,2207,225.0,32,2019,0,0,0,1,0
56562,2563,240.0,32,2021,0,0,0,1,0
55358,2137,200.0,32,2021,0,0,0,1,0
54757,2678,280.0,24,2019,1,0,0,0,0
54416,2382,250.0,32,2021,0,0,0,1,0
53511,2580,225.0,28,2021,0,0,0,1,0
53112,2455,235.0,28,2021,0,0,0,1,0
51836,2439,300.0,32,2021,0,0,0,1,0
51656,3346,280.0,16,2022,1,0,0,0,0
51368,2081,180.0,24,2020,0,0,0,1,0
49386,2445,210.0,36,2022,0,0,0,1,0
49177,1843,180.0,32,2020,0,0,0,1,0
48995,1894,180.0,32,2019,0,0,0,1,0
48330,2453,230.0,24,2021,0,0,0,1,0
46295,1983,180.0,24,2021,0,0,0,1,0
46195,3498,105.0,16,2020,1,0,0,0,0
46085,2878,240.0,16,2021,0,0,0,1,0
45882,2947,190.0,16,2021,0,0,0,1,0
45860,2736,225.0,64,2022,0,0,0,1,0
45517,2522,185.0,24,2021,0,0,0,1,0
44243,4317,150.0,8,2022,1,0,0,0,0
43745,2383,185.0,24,2021,0,0,0,1,0
43056,2034,205.0,28,2021,0,0,0,1,0
42244,1941,180.0,32,2017,0,0,0,1,0
41871,1689,155.0,32,2019,0,0,0,1,0
41741,1970,180.0,24,2019,0,0,0,1,0
41578,3347,280.0,12,2022,1,0,0,0,0
41434,2406,205.0,18,2021,0,0,0,1,0
41360,3900,60.0,16,2022,1,0,0,0,0
41163,4217,241.0,8,2021,1,0,0,0,0
41077,4209,241.0,8,2021,1,0,0,0,0
40951,2446,240.0,16,2020,0,0,0,1,0
40879,2608,155.0,16,2021,0,0,0,1,0
40794,2386,53.0,24,2019,0,0,0,1,0
40767,2725,205.0,28,2020,0,0,0,1,0
40575,2610,155.0,16,2021,0,0,0,1,0
40472,1995,155.0,24,2021,0,0,0,1,0
40225,2696,280.0,16,2020,1,0,0,0,0
39620,2718,205.0,24,2021,1,0,0,1,0
39457,3494,105.0,12,2020,1,0,0,0,0
39157,2738,105.0,16,2019,1,0,0,0,0
38944,2556,250.0,16,2022,0,0,0,1,0
38604,2296,205.0,24,2020,0,0,0,1,0
38281,4162,65.0,8,2022,1,0,0,0,0
38122,1329,53.0,80,2021,0,0,0,0,1
37809,1311,53.0,80,2021,0,0,0,0,1
37606,2455,205.0,16,2021,0,0,0,1,0
37575,2011,205.0,28,2020,0,0,0,1,0
37511,2362,165.0,28,2021,0,0,0,1,0
37264,2380,150.0,20,2021,0,0,0,1,0
37167,2148,255.0,28,2019,1,0,0,0,0
35726,4045,65.0,8,2022,1,0,0,0,0
35352,2426,205.0,20,2020,0,0,0,1,0
35328,2356,185.0,16,2021,0,0,0,1,0
34999,4032,35.0,8,2022,1,0,0,0,0
34721,3432,65.0,12,2021,1,0,0,0,0
34125,4047,190.0,8,2021,1,0,0,0,0
34110,4054,190.0,8,2021,1,0,0,0,0
33970,2315,165.0,24,2020,0,0,0,1,0
33792,2404,129.0,20,2022,0,0,0,1,0
33417,2708,280.0,12,2020,1,0,0,0,0
33408,2667,165.0,18,2019,1,0,0,0,0
33370,2399,150.0,24,2021,0,0,0,1,0
33015,1978,155.0,16,2020,0,0,0,1,0
32869,2786,105.0,12,2020,1,0,0,0,0
32751,2725,105.0,12,2019,1,0,0,0,0
32616,2138,205.0,24,2017,0,0,0,1,0
32480,1878,155.0,16,2019,0,0,0,1,0
32475,2290,250.0,32,2018,1,0,0,0,0
32410,2143,150.0,24,2019,0,0,0,1,0
32268,3987,65.0,8,2022,1,0,0,0,0
32223,2020,150.0,26,2021,0,0,0,1,0
31905,2566,165.0,18,2018,1,0,0,0,0
31680,2696,165.0,18,2020,0,0,0,1,0
31659,3948,65.0,8,2022,1,0,0,0,0
31631,1987,120.0,16,2019,0,0,0,1,0
31500,1863,210.0,24,2020,0,0,0,1,0
31372,2623,65.0,12,2019,1,0,0,0,0
31094,2377,53.0,16,2019,0,0,0,1,0
30660,2627,65.0,12,2019,1,0,0,0,0
30655,2631,165.0,16,2019,1,0,0,0,0
30616,2346,205.0,18,2021,0,0,0,1,0
30549,2537,205.0,16,2020,0,0,0,1,0
30433,2358,250.0,24,2018,1,0,0,0,0
30313,1719,180.0,32,2018,0,0,0,1,0
30220,2321,205.0,16,2020,0,0,0,1,0
30213,3946,45.0,6,2022,0,1,0,0,0
30162,2970,255.0,14,2020,1,0,0,0,0
30105,2572,205.0,24,2019,0,0,0,1,0
30103,2167,205.0,24,2019,0,0,0,1,0
30043,2179,135.0,16,2021,0,0,0,1,0
29981,2488,180.0,16,2018,1,0,0,0,0
29842,2474,165.0,18,2017,1,0,0,0,0
29714,3974,45.0,6,2022,0,1,0,0,0
29356,2381,200.0,18,2019,0,0,0,1,0
29049,2609,140.0,18,2021,0,0,0,1,0
28962,2182,150.0,20,2018,0,0,0,1,0
28915,2203,150.0,20,2019,0,0,0,1,0
28848,2264,200.0,18,2017,0,0,0,1,0
28619,2724,165.0,14,2019,1,0,0,0,0
28580,2437,150.0,12,2021,0,0,0,1,0
28411,2647,165.0,14,2018,1,0,0,0,0
28368,3485,105.0,8,2020,1,0,0,0,0
28271,1689,155.0,24,2017,0,0,0,1,0
28079,1085,53.0,64,2021,0,0,0,0,1
28037,2293,180.0,16,2017,1,0,0,0,0
27904,2790,165.0,14,2020,1,0,0,0,0
27617,1691,140.0,22,2019,0,0,0,1,0
27470,2013,165.0,24,2019,0,0,0,1,0
27445,1934,120.0,32,2019,0,0,0,1,0
27429,3965,150.0,6,2021,1,0,0,0,0
27391,3766,45.0,6,2022,0,1,0,0,0
27377,2123,165.0,28,2018,0,0,0,1,0
27325,2413,140.0,18,2017,0,0,0,1,0
27211,2290,150.0,16,2020,0,0,0,1,0
27186,3967,150.0,6,2021,1,0,0,0,0
27065,3397,65.0,8,2022,1,0,0,0,0
26901,2247,150.0,16,2020,0,0,0,1,0
26699,2525,165.0,16,2017,1,0,0,0,0
26696,2766,165.0,12,2019,1,0,0,0,0
26659,1903,53.0,24,2018,0,0,0,1,0
26657,2285,125.0,20,2019,0,0,0,1,0
